Advertiser ID,Advertiser Name,Advertiser URL,Advertiser Category,Program ID,Program Name,Program Logo URI,Active Date,Template Terms Name,Insertion Order Status,Tracking Link,Allows Deep Linking,Payout
6329207,1st Phorm,https://1stphorm.com/,Sports Apparel & Accessories,37436,1st Phorm,/display-logo-via-campaign/37436.gif,"Dec 8, 2025 11:33",Public Terms,Active,https://1stphorm.sjv.io/c/5980041/3062647/37436,true,Online Sale: 25%-100%
6632765,8000Kicks,https://8000kicks.com,Shoes,44202,8000Kicks,/display-logo-via-campaign/44202.gif,"Dec 8, 2025 11:34",Public Terms,Active,https://8000kicks.sjv.io/c/5980041/3359384/44202,true,Online Sale: 10%
127343,99designs by Vista,https://www.99designs.com,Creative Digital Assets,3172,99designs by Vista,/display-logo-via-campaign/3172.gif,"Dec 29, 2025 00:14",Public Terms,Active,https://99designs.qvig.net/c/5980041/185967/3172,true,"Project Completed: USD5.00-USD40.00
Contest Launch: USD5.00-USD40.00"
5412539,Abbott Lingo,https://www.hellolingo.com/,,24869,Abbott Lingo,/display-logo-via-campaign/24869.gif,"Dec 8, 2025 21:21",Public Terms,Active,https://abbottlingo.sjv.io/c/5980041/2011025/24869,true,Online Sale: 15%-17.5%
4243223,ACEBEAM,http://www.acebeam.com/,Outdoors & Recreation,19551,ACEBEAM Flashlight,/display-logo-via-campaign/19551.gif,"Feb 3, 2025 18:13",Public Terms,Active,https://acebeamflashlight.sjv.io/c/5980041/1685780/19551,true,Online Sale: 10%-15%
4175351,Aligrace Hair,http://aligracehair.com,Women's Apparel,19272,Aligrace Hair,/display-logo-via-campaign/19272.gif,"Jan 29, 2025 11:24",Public Terms,Expired,https://aligracehair.sjv.io/c/5980041/1659456/19272,true,Online Sale: 12%-13%
6537358,AlphaStyle,https://www.alphastyle.store/,Women's Apparel,41816,AlphaStyle,/display-logo-via-campaign/41816.gif,"Dec 4, 2025 08:52",Public Terms,Active,https://multicoinsindustriallimited.sjv.io/c/5980041/3269875/41816,true,Online Sale: 10%
4708555,"AMERICA ULIKE ECOMMERCE  CO., LTD",https://www.ulike.com,Spa & Personal Grooming,21022,uk.ulike.com,/display-logo-via-campaign/21022.gif,"Feb 3, 2025 18:14",Public Terms,Active,https://ukulike.sjv.io/c/5980041/1781198/21022,true,Online Sale: 10%
4708555,"AMERICA ULIKE ECOMMERCE  CO., LTD",https://www.ulike.com,Spa & Personal Grooming,21023,de.ulike.com,/display-logo-via-campaign/21023.gif,"Feb 3, 2025 18:14",Public Terms,Active,https://deulike.pxf.io/c/5980041/1781226/21023,true,Online Sale: 10%
5368959,Amotopart,http://amotopart.com,Parts & Accessories,24551,Amotopart Fairing Creator Recruitment,/display-logo-via-campaign/24551.gif,"Feb 3, 2025 18:16",Public Terms,Active,https://autocreatorrecruitment.sjv.io/c/5980041/1995924/24551,true,Online Sale: 10%
5549179,Andy & Evan,https://www.andyandevan.com,Clothing & Accessories,25955,Andy & Evan,/display-logo-via-campaign/25955.gif,"Dec 8, 2025 21:26",Public Terms,Active,https://andyevan.sjv.io/c/5980041/2071348/25955,true,Online Sale: 10%
4482493,Angelbliss,http://angelbliss.us,Clothing & Accessories,20350,Angelbliss,/display-logo-via-campaign/20350.gif,"Feb 3, 2025 18:14",Public Terms,Active,https://angelbliss.pxf.io/c/5980041/1745569/20350,true,Online Sale: 10%
3474392,AOFIT,https://aofithealth.com,Sports & Exercise Equipment,16396,AOFIT,/display-logo-via-campaign/16396.gif,"Jan 29, 2025 11:19",Public Terms,Expired,https://aofit.pxf.io/c/5980041/1364199/16396,true,Online Sale: 30%
361842,Arkuda Digital LLC - arkudadigital,http://www.arkudadigital.com,Apps,5172,Arkuda Digital,/display-logo-via-campaign/5172.gif,"Jan 30, 2025 04:46",Streaming Media Server,Active,https://arkmc.pxf.io/c/5980041/348881/5172,true,Media Streaming Apps: 0.01%
2542351,Aspen Brands,http://www.myweddingfavors.com/,Clothing & Accessories,12581,Corner Stork Baby Gifts,/display-logo-via-campaign/12581.gif,"Dec 8, 2025 21:13",Public Terms,Expired,https://cornerstorkbabygifts.pxf.io/c/5980041/923564/12581,true,Online Sale: 7%
3080606,atoms,http://atoms.com,Women's Apparel,14843,atoms,/display-logo-via-campaign/14843.gif,"Jan 30, 2025 04:46",Public Terms,Active,https://atoms.sjv.io/c/5980041/1179201/14843,true,Online Sale: 6%
5936385,Baby Gold,https://www.babygold.com,Jewelry & Watches,29616,Baby Gold ,/display-logo-via-campaign/29616.gif,"Dec 4, 2025 08:52",Baby Gold's Public Terms,Active,https://babygoldinc.pxf.io/c/5980041/2330918/29616,true,Online Sale: 8%
6141108,Best Choice Products,https://bestchoiceproducts.com,Bed & Bath,33479,Best Choice Products,/display-logo-via-campaign/33479.gif,"Dec 8, 2025 11:37",Public Terms,Active,https://bestchoiceproducts.sjv.io/c/5980041/2873487/33479,true,Online Sale: 10%
3618308,BistroMD,http://www.bistromd.com,Food & Beverages,17151,Silver Cuisine,/display-logo-via-campaign/17151.gif,"Feb 3, 2025 18:15",Public Terms,Active,https://silver-cuisine.pxf.io/c/5980041/1443777/17151,true,Online Sale: 7%
5052024,Blanka,http://blankabrand.com,"Apparel, Shoes & Accessories",22804,Blanka ,/display-logo-via-campaign/22804.gif,"Dec 8, 2025 21:17",Public Terms,Active,https://blanka.sjv.io/c/5980041/1904411/22804,true,"Recurring Subscription: 10%-20%
Trial: 0%"
2213920,Bluehost,https://www.bluehost.com/,Website Hosting,11352,Bluehost,/display-logo-via-campaign/11352.gif,"Feb 7, 2025 08:05",Public Terms,Active,https://bluehost.sjv.io/c/5980041/795082/11352,true,"Bluehost US: $65.00-$1,500.00"
