id,name,address,city,state,country,postcode,lat,lng,phone,website,email,capacity_min,capacity_max,style,event_types,google_place_id,yelp_business_id,foursquare_id,osm_id,event_friendly_score,data_quality_score,source_flags,created_at,updated_at,rating,user_ratings_total
1,Emerson Community Center,"51 Pettee St, Newton, MA 02464, USA",Newton,MA,,02464,42.3135737,-71.2219762,,https://www.newtonma.gov/Home/Components/FacilityDirectory/FacilityDirectory/72/408,,,,,,ChIJO4WjVSOC44kRV4Isfig7Cbw,,,node/358261298,,,,2025-12-07 04:22:31.409599,2025-12-07 04:22:31.409599,,
2,Houghton Building,"1550 Brickyard Ln #1, Houghton, MI 49931, USA",Houghton,MI,,49931,42.4334258,-71.6070115,(906) 482-0900,https://houghtonbuildingsupply.com/,,,,,,ChIJtfGoHFHJUE0RU3Ut4Q-Ihz4,,,node/358268985,,,,2025-12-07 04:22:31.409599,2025-12-07 04:22:31.409599,4.8,11
3,Salvation Army Corps Community Center,"52 Long Pond Rd, Plymouth, MA 02360, USA",Plymouth,MA,,02360,41.9311335,-70.6580585,(508) 746-1559,https://www.salvationarmyma.org/plymouth,,,,,,ChIJ4WX8TVe75IkR4hcwK24FjAg,,,node/358280186,,,,2025-12-07 04:22:31.409599,2025-12-07 04:22:31.409599,3.9,16
4,Sharon Arts Center,"300 Bowling Green Dr, San Francisco, CA 94117, USA",San Francisco,CA,,94117,42.8128627,-71.9159115,(628) 652-7217,http://www.sharonartstudio.org/,,,,,,ChIJ3-0DYJZ9j4ARDzhOlN0XMPA,,,node/366494726,,,,2025-12-07 04:22:31.409599,2025-12-07 04:22:31.409599,4.6,65
5,Nature Conservatory,"41 718405 #72.068797, Hampton, CT 06247, USA",Hampton,CT,,06247,41.7217653,-72.068687,(203) 568-6270,https://www.nature.org/en-us/get-involved/how-to-help/places-we-protect/rock-spring-preserve/?en_txn1=bl.ch_ct.eg.x.g,,,,,,ChIJPyKzXcp95okRW5nkjeym5Ic,,,node/367136741,,,,2025-12-07 04:22:31.409599,2025-12-07 04:22:31.409599,4.1,48
6,Brush Art Gallery,"256 Market St, Lowell, MA 01852, USA",Lowell,MA,,01852,42.644144,-71.3122453,(978) 459-7819,http://www.thebrush.org/,,,,,,ChIJE15Z90Ck44kR7VMR_L4zJEo,,,node/367777759,,,,2025-12-07 04:22:31.409599,2025-12-07 04:22:31.409599,4.9,25
7,List Visual Arts Center,"20 Ames St, Cambridge, MA 02142, USA",Cambridge,MA,,02142,42.3610207,-71.0877409,(617) 253-4680,http://listart.mit.edu/,,,,,,ChIJMzhNVv5544kRqKx1Mlb1iLA,,,node/367777760,,,,2025-12-07 04:22:31.409599,2025-12-07 04:22:31.409599,4.4,251
8,Boston Center for the Arts,"539 Tremont St, Boston, MA 02116, USA",Boston,MA,,02116,42.3444755,-71.070965,(617) 426-5000,https://bostonarts.org/,,,,,,ChIJKz0HcG1644kRZ8SM7BYmWSI,,,node/367777761,,,,2025-12-07 04:22:31.409599,2025-12-07 04:22:31.409599,4.7,354
9,Robsham Theater Arts Center,"Campanella Way, Chestnut Hill, MA 02467, USA",Boston,MA,,02467,42.3379145,-71.1681831,(617) 552-4800,https://www.bc.edu/bc-web/offices/student-affairs/sites/robsham-theater/box-office.html,,,,,,ChIJDfhLCl1444kRQwR7grmNTBY,,,node/367777762,,,,2025-12-07 04:22:31.409599,2025-12-07 04:22:31.409599,4.6,68
10,Community Art Center,"119 Windsor St # 6, Cambridge, MA 02139, USA",Cambridge,MA,,02139,42.368986,-71.0906075,(617) 868-7100,http://www.communityartcenter.org/,,,,,,ChIJtyFft6xw44kRa2OZHfZ3lHY,,,node/367777763,,,,2025-12-07 04:22:31.409599,2025-12-07 04:22:31.409599,4.3,29
11,Boston Conservatory of Music,"8 Fenway, Boston, MA 02215, USA",Boston,MA,,02215,42.3462248,-71.0898622,(617) 536-6340,http://www.bostonconservatory.berklee.edu/,,,,,,ChIJg_o4eht644kRhBU31dD10GE,,,node/367777764,,,,2025-12-07 04:22:31.409599,2025-12-07 04:22:31.409599,4.6,39
