id,name,address,city,state,country,postcode,lat,lng,phone,website,google_place_id,rating,user_ratings_total,osm_id,capacity_min,capacity_max,style,event_types,created_at,updated_at
1,Lee Recreation Center,"1598 Oakdale Ave, San Francisco, CA 94124, USA",San Francisco,CA,,94124,37.7348888,-122.3897509,(415) 970-9204,https://sfrecpark.org/Facilities/Facility/Details/Joseph-Lee-Rec-Center-95,ChIJM5JD8w9_j4ARVE5IBUu8vbE,4.3,82,node/358803674,,,,,2025-12-08 03:08:02.888959,2025-12-08 03:08:02.888959
2,Western Addition Cultural Center,"762 Fulton St, San Francisco, CA 94102, USA",San Francisco,CA,,94102,37.7783333,-122.4288889,(415) 426-1100,http://www.aaacc.org/,ChIJAW_uUKOAhYAR7sB6TUroFi8,4.7,181,node/368167435,,,,,2025-12-08 03:08:02.888959,2025-12-08 03:08:02.888959
3,Goethe Institut,"657 Howard St, San Francisco, CA 94105, USA",San Francisco,CA,,94105,37.790619,-122.4061,(415) 263-8760,http://www.goethe.de/sanfrancisco,ChIJvfJL4ouAhYARIEiMVf6tA5g,4.6,13,node/1485978376,,,,,2025-12-08 03:08:02.888959,2025-12-08 03:08:02.888959
4,826 Valencia / The Writing Center,"826 Valencia St, San Francisco, CA 94110, USA",San Francisco,CA,,94110,37.7595612,-122.421556,,https://shop826valencia.org/,ChIJh9WzAD1-j4ARXiziTeRHEQ8,4.6,204,node/1609600152,,,,,2025-12-08 03:08:02.888959,2025-12-08 03:08:02.888959
5,Pixie Hall Studios,"649 Diamond St, San Francisco, CA 94114, USA",San Francisco,CA,,94114,37.7520653,-122.4362392,(415) 400-4846,,ChIJ82zK5Q1-j4ARxAYemzWLZac,5,2,node/1713279729,,,,,2025-12-08 03:08:02.888959,2025-12-08 03:08:02.888959
6,Kimochi,"1581 Webster St #201, San Francisco, CA 94115, USA",San Francisco,CA,,94115,37.7859573,-122.4300248,(415) 922-9972,https://www.kimochi-inc.org/kimochi-lounge,ChIJOSMQ4riAhYARFudevilr8Fo,4.5,2,node/1840697754,,,,,2025-12-08 03:08:02.888959,2025-12-08 03:08:02.888959
7,23rd Street Studio,"3747 23rd St, San Francisco, CA 94114, USA",San Francisco,CA,,94114,37.7532761,-122.4263735,(415) 824-3408,http://www.23rdstreetstudio.com/,ChIJYaq9BxV-j4ARBB-zHr7cWwg,4.7,17,node/2027091592,,,,,2025-12-08 03:08:02.888959,2025-12-08 03:08:02.888959
8,Precita Eyes Muralists,"2981 24th St, San Francisco, CA 94110, USA",San Francisco,CA,,94110,37.752584,-122.411665,(415) 285-2287,http://www.precitaeyes.org/,ChIJ0U2mjUh-j4ARJjfgnArjN8o,4.7,90,node/2340730649,,,,,2025-12-08 03:08:02.888959,2025-12-08 03:08:02.888959
9,St Louise Studios,"3431 Louise St, Oakland, CA 94608, USA",Oakland,CA,,94608,37.826294,-122.285589,(415) 305-7205,https://stlouisestudios.com/,ChIJKTOeYBZ-hYAR8rPDWx44ekk,,,node/2776763150,,,,,2025-12-08 03:08:02.888959,2025-12-08 03:08:02.888959
10,The Crucible,"1260 7th St, Oakland, CA 94607, USA",Oakland,CA,,94607,37.804693,-122.290753,(510) 444-0919,http://www.thecrucible.org/,ChIJDdSj_5iAj4ARY3bBha98McU,4.7,135,node/2776772105,,,,,2025-12-08 03:08:02.888959,2025-12-08 03:08:02.888959
11,American Steel Studios,"1960 Mandela Pkwy #1647, Oakland, CA 94607, USA",Oakland,CA,,94607,37.814795,-122.288778,,http://americansteelstudios.net/,ChIJVyQh0CF-hYAR1D7-p1CF5NY,4.3,30,node/2776777489,,,,,2025-12-08 03:08:02.888959,2025-12-08 03:08:02.888959
12,SOMArts,"934 Brannan St, San Francisco, CA 94103, USA",San Francisco,CA,,94103,37.771181,-122.406516,(415) 863-1414,http://www.somarts.org/,ChIJJ-_S9yt-j4ARSeHkBwOYrVk,4.7,290,node/2960339704,,,,,2025-12-08 03:08:02.888959,2025-12-08 03:08:02.888959
13,Boys & Girls Club of Alameda,"1900 3rd St, Alameda, CA 94501, USA",Alameda,CA,,94501,37.7790856,-122.2861153,(510) 522-4900,https://alamedabgc.org/,ChIJvSkRlOuAj4ARlcSKGwXraLc,4.2,13,node/3054731034,,,,,2025-12-08 03:08:02.888959,2025-12-08 03:08:02.888959
14,Pyramid Alternatives,"1590 El Camino Real, San Bruno, CA 94066, USA",San Bruno,CA,,94066,37.649881,-122.4919374,(650) 355-8787,https://star-vista.org/,ChIJrzJftHd3j4ARLoSy6CafSLc,,,node/3442011318,,,,,2025-12-08 03:08:02.888959,2025-12-08 03:08:02.888959
